station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Wick,7794,5166,20,0,WCK,Scotland,Highland
Wickford,417894,369742,389890,237370,WIC,Eastern,Essex
Wickham Market,13240,31746,2584,0,WCM,Eastern,Suffolk
Widdrington,1794,106,138,0,WDD,Eastern,Northumberland
Widnes,135014,205814,17974,0,WID,North West and Central,Halton
Widney Manor,49572,71230,56098,0,WMR,North West and Central,Solihull
Wigan North Western,276958,743368,147878,970485,WGN,North West and Central,Wigan
Wigan Wallgate,255256,685116,136290,152127,WGW,North West and Central,Wigan
Wigton,17846,39470,7504,0,WGT,North West and Central,Cumbria
Wildmill,9662,3612,1984,0,WMI,Wales and Western,Bridgend
Willesden Junction,1657752,2824440,875346,1582839,WIJ,North West and Central,Brent
Williamwood,30018,68542,10846,0,WLM,Scotland,East Renfrewshire
Willington,22284,12442,816,0,WIL,Eastern,Derbyshire
Wilmcote,4550,9622,524,0,WMC,North West and Central,Warwickshire
Wilmslow,267354,459804,111084,66870,WML,North West and Central,Cheshire East
Wilnecote (Staffs),44768,5438,9760,0,WNE,North West and Central,Staffordshire
Wimbledon,3021336,4988656,1942042,651738,WIM,Southern,Merton
Wimbledon Chase,75344,74766,41596,0,WBO,Southern,Merton
Winchelsea,1252,6928,1142,0,WSE,Southern,East Sussex
Winchester,650720,1713682,595342,38476,WIN,Southern,Hampshire
Winchfield,43448,66666,53840,0,WNF,Southern,Hampshire
Winchmore Hill,332330,419852,100300,0,WIH,Eastern,Enfield
Windermere,20924,266992,21708,0,WDM,North West and Central,Cumbria
Windsor and Eton Central,211042,618748,152308,22209,WNC,Wales and Western,Windsor and Maidenhead
Windsor and Eton Riverside,236688,486764,63566,24001,WNR,Southern,Windsor and Maidenhead
Winnersh,67246,109202,85472,0,WNS,Southern,Wokingham
Winnersh Triangle,48020,52734,20074,0,WTI,Southern,Wokingham
Winsford,51182,107698,6738,0,WSF,North West and Central,Cheshire West and Chester
Wishaw,74908,117882,30846,0,WSH,Scotland,North Lanarkshire
Witham,339908,414898,522348,104667,WTM,Eastern,Essex
Witley,64180,48640,33330,0,WTY,Southern,Surrey
Witton (West Midlands),45086,83778,40556,0,WTT,North West and Central,Birmingham
Wivelsfield,88118,171434,79436,12477,WVF,Southern,West Sussex
Wivenhoe,33108,124458,59212,1531,WIV,Eastern,Essex
Woburn Sands,3814,6628,9276,0,WOB,North West and Central,Milton Keynes
Woking,1552818,1854810,662672,725465,WOK,Southern,Surrey
Wokingham,369830,668404,242776,54616,WKM,Southern,Wokingham
