station,full,reduced,season,interchanges,code,network_rail_region,local_authority
Clydebank,52858,84126,35740,0,CYK,Scotland,West Dunbartonshire
Coatbridge Central,7918,10852,4210,0,CBC,Scotland,North Lanarkshire
Coatbridge Sunnyside,80356,149462,35852,0,CBS,Scotland,North Lanarkshire
Coatdyke,43616,58858,25090,0,COA,Scotland,North Lanarkshire
Cobham and Stoke D'abernon,111490,131976,47496,0,CSD,Southern,Surrey
Codsall,30294,37694,19994,0,CSL,North West and Central,Staffordshire
Cogan,147264,6514,30926,0,CGN,Wales and Western,Vale of Glamorgan
Colchester,532722,1480582,899962,390524,COL,Eastern,Essex
Colchester Town,92244,256370,155834,0,CET,Eastern,Essex
Coleshill Parkway,95024,19386,13546,0,CEH,North West and Central,Warwickshire
Collingham,78956,4126,4358,0,CLM,Eastern,Nottinghamshire
Collington,38082,56958,19842,0,CLL,Southern,East Sussex
Colne,23142,37000,8662,0,CNE,North West and Central,Lancashire
Colwall,16456,18726,9684,5,CWL,Wales and Western,Herefordshire
Colwyn Bay,93192,97578,16344,523,CWB,Wales and Western,Conwy
Combe (Oxon),898,104,236,0,CME,Wales and Western,Oxfordshire
Commondale,438,1310,698,0,COM,Eastern,North Yorkshire
Congleton,47544,156320,15182,0,CNG,North West and Central,Cheshire East
Conisbrough,30288,23600,14772,0,CNS,Eastern,Doncaster
Connel Ferry,2942,1632,11056,0,CON,Scotland,Argyll and Bute
Conon Bridge,7478,1414,320,0,CBD,Scotland,Highland
Cononley,31476,67294,27266,0,CEY,Eastern,North Yorkshire
Conway Park,177734,272770,174718,0,CNP,North West and Central,Wirral
Conwy,14296,12926,816,0,CNW,Wales and Western,Conwy
Cooden Beach,16448,56272,12546,0,COB,Southern,East Sussex
Cookham,40310,51486,26182,0,COO,Wales and Western,Windsor and Maidenhead
Cooksbridge,15828,21820,9904,0,CBR,Southern,East Sussex
Coombe Junction Halt,2,100,10,0,COE,Wales and Western,Cornwall
Copplestone,8526,10614,3928,0,COP,Wales and Western,Devon
Corbridge,10354,35404,934,0,CRB,Eastern,Northumberland
Corby,45420,223820,30728,811,COR,Eastern,North Northamptonshire
Corkerhill,38018,74594,16406,0,CKH,Scotland,Glasgow City
Corkickle,20050,16350,8324,0,CKL,North West and Central,Cumbria
Corpach,1224,986,0,0,CPA,Scotland,Highland
Corrour,7290,4228,0,0,CRR,Scotland,Highland
Coryton,20854,874,13398,0,COY,Wales and Western,Cardiff
Coseley,95064,179070,99774,0,CSY,North West and Central,Dudley
Cosford,16820,26776,6220,0,COS,North West and Central,Shropshire
Cosham,214588,365134,81868,0,CSA,Southern,Portsmouth
Cottingham,29960,101350,30636,0,CGM,Eastern,East Riding of Yorkshire
Cottingley,23342,14130,14284,0,COT,Eastern,Leeds
Coulsdon South,447956,554860,219302,0,CDS,Southern,Croydon
Coulsdon Town,24904,49336,11636,0,CDN,Southern,Croydon
Coventry,1319504,2776654,539896,471469,COV,North West and Central,Coventry
Coventry Arena,25688,40522,1924,0,CAA,North West and Central,Coventry
Cowden (Kent),9876,14406,6326,0,CWN,Southern,Kent
Cowdenbeath,28104,47980,6606,0,COW,Scotland,Fife
Cradley Heath,111086,223136,133522,0,CRA,North West and Central,Sandwell
Craigendoran,18850,32942,71100,0,CGD,Scotland,Argyll and Bute
Cramlington,52722,49642,9076,0,CRM,Eastern,Northumberland
Cranbrook (Devon),23070,59382,13072,0,CBK,Wales and Western,Devon
Craven Arms,35536,22076,13612,2058,CRV,Wales and Western,Shropshire
Crawley,291272,504064,209372,2152,CRW,Southern,West Sussex
Crayford,303262,355854,157392,0,CRY,Southern,Bexley
Crediton,40456,35730,8316,0,CDI,Wales and Western,Devon
Cressing (Essex),10800,10652,12922,0,CES,Eastern,Essex
Cressington,63334,255446,113832,0,CSG,North West and Central,Liverpool
Creswell,17212,12722,784,0,CWD,Eastern,Derbyshire
Crewe,599896,1999542,117594,802311,CRE,North West and Central,Cheshire East
Crewkerne,9984,87100,30424,0,CKN,Southern,Somerset
Crews Hill,26226,47940,14778,0,CWH,Eastern,Enfield
Crianlarich,5018,6012,0,27662,CNR,Scotland,Stirling
Criccieth,12072,3592,652,0,CCC,Wales and Western,Gwynedd
Cricklewood,179576,312992,118980,0,CRI,Eastern,Barnet
Croftfoot,29634,88994,26390,0,CFF,Scotland,Glasgow City
Crofton Park,158214,235190,62266,0,CFT,Southern,Lewisham
Cromer,63834,138952,9804,0,CMR,Eastern,Norfolk
Cromford,10130,17270,2052,0,CMF,Eastern,Derbyshire
Crookston,34854,62998,15554,0,CKT,Scotland,Glasgow City
Cross Gates,141160,100788,70036,0,CRG,Eastern,Leeds
Crossflatts,86656,100506,129938,0,CFL,Eastern,Bradford
Crosshill,38360,101002,41868,0,COI,Scotland,Glasgow City
Crosskeys,43342,1214,8462,0,CKY,Wales and Western,Caerphilly
Crossmyloof,132234,298450,42904,0,CMY,Scotland,Glasgow City
Croston,13638,19188,3796,0,CSO,North West and Central,Lancashire
Crouch Hill,201610,319112,147528,0,CRH,Eastern,Islington
Crowborough,48362,63200,54322,0,COH,Southern,East Sussex
Crowhurst,5580,14084,10856,0,CWU,Southern,East Sussex
Crowle,4106,7686,2004,0,CWE,Eastern,North Lincolnshire
Crowthorne,46678,82390,22106,0,CRN,Southern,Bracknell Forest
Croy,218820,415502,84682,0,CRO,Scotland,North Lanarkshire
Crystal Palace,597052,1103464,302550,114211,CYP,Southern,Bromley
Cuddington,19470,26074,9026,0,CUD,North West and Central,Cheshire West and Chester
Cuffley,154058,196192,44850,0,CUF,Eastern,Hertfordshire
Culham,24626,13458,22058,0,CUM,Wales and Western,Oxfordshire
Culrain,114,50,0,0,CUA,Scotland,Highland
Cumbernauld,44898,51438,10400,2358,CUB,Scotland,North Lanarkshire
Cupar,34732,57034,4028,0,CUP,Scotland,Fife
Curriehill,20350,15782,4078,0,CUH,Scotland,City of Edinburgh
Cuxton,19072,13462,13778,0,CUX,Southern,Medway
Cwmbach,20730,714,3088,0,CMH,Wales and Western,Rhondda Cynon Taf
Cwmbran,169016,39028,54860,0,CWM,Wales and Western,Torfaen
Cynghordy,422,192,0,0,CYN,Wales and Western,Carmarthenshire
Dagenham Dock,125372,112746,51364,0,DDK,Eastern,Barking and Dagenham
Daisy Hill,55484,62038,32408,0,DSY,North West and Central,Bolton
Dalgety Bay,32286,62706,10440,0,DAG,Scotland,Fife
Dalmally,2794,1394,8944,0,DAL,Scotland,Argyll and Bute
Dalmarnock,61916,139738,25734,0,DAK,Scotland,Glasgow City
Dalmeny,72366,161608,35664,0,DAM,Scotland,City of Edinburgh
Dalmuir,131536,213224,95906,20369,DMR,Scotland,West Dunbartonshire
Dalreoch,29432,49974,53530,0,DLR,Scotland,West Dunbartonshire
Dalry,30374,56204,15528,0,DLY,Scotland,North Ayrshire
Dalston (Cumbria),7262,14378,8922,0,DLS,North West and Central,Cumbria
Dalston Junction,972270,2165618,368156,0,DLJ,Eastern,Hackney
Dalston Kingsland,1014796,2414858,660036,0,DLK,Eastern,Hackney
Dalton (Cumbria),20354,46156,10422,0,DLT,North West and Central,Cumbria
Dalwhinnie,1010,930,20,0,DLW,Scotland,Highland
Danby,576,3824,0,0,DNY,Eastern,North Yorkshire
Danescourt,25648,1270,4878,0,DCT,Wales and Western,Cardiff
Danzey,1486,1750,252,0,DZY,North West and Central,Warwickshire
Darlington,316454,1643764,114838,360656,DAR,Eastern,Darlington
Darnall,6726,3724,1976,0,DAN,Eastern,Sheffield
Darsham,8986,37274,1920,0,DSM,Eastern,Suffolk
Dartford,1005436,1641782,505682,209977,DFD,Southern,Kent
Darton,50550,34442,19104,0,DRT,Eastern,Barnsley
Darwen,58290,147136,29212,0,DWN,North West and Central,Blackburn with Darwen
Datchet,61232,85780,26828,0,DAT,Southern,Windsor and Maidenhead
Davenport,88078,76904,50260,0,DVN,North West and Central,Stockport
Dawlish,64686,332010,84586,0,DWL,Wales and Western,Devon
Dawlish Warren,20596,206506,6534,0,DWW,Wales and Western,Devon
Deal,64436,243602,85564,0,DEA,Southern,Kent
Dean (Wilts),6144,22910,4246,0,DEN,Southern,Wiltshire
Deansgate,154474,580832,69358,0,DGT,North West and Central,Manchester
Deganwy,6994,2298,634,0,DGY,Wales and Western,Conwy
Deighton,20526,17788,13004,0,DHN,Eastern,Kirklees
Delamere,11682,25434,3392,0,DLM,North West and Central,Cheshire West and Chester
Denby Dale,65828,33240,20048,0,DBD,Eastern,Kirklees
Denham,54526,42670,36906,0,DNM,North West and Central,Buckinghamshire
Denham Golf Club,7240,5404,2524,0,DGC,North West and Central,Buckinghamshire
Denmark Hill,1628766,1967538,1000490,380421,DMK,Southern,Southwark
Dent,1232,7654,16,0,DNT,North West and Central,Cumbria
Denton,30,20,0,0,DTN,North West and Central,Tameside
Deptford,311838,574790,353594,0,DEP,Southern,Lewisham
Derby,661118,2148982,142248,411392,DBY,Eastern,Derby
Derby Road (Ipswich),17304,35522,3920,0,DBR,Eastern,Suffolk
Devonport,7124,11572,12170,0,DPT,Wales and Western,Plymouth
Dewsbury,373106,436844,251394,0,DEW,Eastern,Kirklees
Didcot Parkway,329766,1331524,362668,361267,DID,Wales and Western,Oxfordshire
Digby and Sowton,162644,88614,319202,0,DIG,Wales and Western,Devon
Dilton Marsh,4832,2818,1016,0,DMH,Wales and Western,Wiltshire
Dinas (Rhondda),19958,616,4476,0,DMG,Wales and Western,Rhondda Cynon Taf
Dinas Powys,41468,3124,7998,0,DNS,Wales and Western,Vale of Glamorgan
Dingle Road,64282,3568,15832,0,DGL,Wales and Western,Vale of Glamorgan
Dingwall,33158,9524,3842,272,DIN,Scotland,Highland
Dinsdale,16192,33488,11666,0,DND,Eastern,Darlington
Dinting,32602,27526,27344,0,DTG,North West and Central,Derbyshire
Disley,33784,45424,23570,0,DSL,North West and Central,Cheshire East
Diss,88616,279162,54494,0,DIS,Eastern,Norfolk
Dockyard (Devonport),1254,4062,1838,0,DOC,Wales and Western,Plymouth
Dodworth,18634,13170,7324,0,DOD,Eastern,Barnsley
Dolau,188,192,0,0,DOL,Wales and Western,Powys
Doleham,130,138,580,0,DLH,Southern,East Sussex
Dolgarrog,524,254,0,0,DLG,Wales and Western,Conwy
Dolwyddelan,1006,726,0,0,DWD,Wales and Western,Conwy
Doncaster,616284,2634124,269378,1011054,DON,Eastern,Doncaster
Dorchester South,68578,241466,12610,343,DCH,Southern,Dorset
Dorchester West,14238,50136,2618,23,DCW,Southern,Dorset
Dore and Totley,45976,82440,8022,0,DOR,Eastern,Sheffield
Dorking (Deepdene),63358,130210,43502,185762,DPD,Southern,Surrey
Dorking (Main),184472,379122,126662,67622,DKG,Southern,Surrey
Dorking West,8894,18278,6106,205,DKT,Southern,Surrey
Dormans,29574,29130,33644,0,DMS,Southern,Surrey
Dorridge,98366,249476,116796,0,DDG,North West and Central,Solihull
Dove Holes,3116,5364,6346,0,DVH,North West and Central,Derbyshire
Dover Priory,165560,431388,135374,50356,DVP,Southern,Kent
Dovercourt,28298,46776,43400,0,DVC,Eastern,Essex
Dovey Junction,6580,450,0,2575,DVY,Wales and Western,Powys
Downham Market,88612,183526,69412,0,DOW,Eastern,Norfolk
Drayton Green,4790,4552,1504,0,DRG,Wales and Western,Ealing
Drayton Park,152866,162632,42888,0,DYP,Eastern,Islington
Drem,25368,27820,8240,0,DRM,Scotland,East Lothian
Driffield,41354,130618,40110,0,DRF,Eastern,East Riding of Yorkshire
Drigg,1644,3876,20,0,DRI,North West and Central,Cumbria
Droitwich Spa,168946,91914,64858,43894,DTW,Wales and Western,Worcestershire
Dronfield,53400,70876,12352,0,DRO,Eastern,Derbyshire
Drumchapel,57384,115044,18900,0,DMC,Scotland,Glasgow City
Drumfrochar,9772,18274,4878,0,DFR,Scotland,Inverclyde
Drumgelloch,48146,83778,30940,0,DRU,Scotland,North Lanarkshire
Drumry,32008,64260,14560,0,DMY,Scotland,West Dunbartonshire
Duddeston,122930,55932,63614,0,DUD,North West and Central,Birmingham
Dudley Port,71254,125074,50446,0,DDP,North West and Central,Sandwell
Duffield,18570,16978,4354,0,DFI,Eastern,Derbyshire
Duirinish,466,88,0,0,DRN,Scotland,Highland
Duke Street,29672,69278,8994,0,DST,Scotland,Glasgow City
Dullingham,9468,5484,7846,0,DUL,Eastern,Cambridgeshire
Dumbarton Central,88990,153004,67664,53273,DBC,Scotland,West Dunbartonshire
Dumbarton East,54896,107084,28816,0,DBE,Scotland,West Dunbartonshire
Dumbreck,27962,54030,7838,0,DUM,Scotland,Glasgow City
Dumfries,25896,203786,2106,119,DMF,Scotland,Dumfries and Galloway
Dumpton Park,7012,9720,6520,0,DMP,Southern,Kent
Dunbar,16642,216472,19234,0,DUN,Scotland,East Lothian
Dunblane,71710,175622,20446,0,DBL,Scotland,Stirling
Duncraig,282,94,0,0,DCG,Scotland,Highland
Dundee,320836,805292,41602,42726,DEE,Scotland,Dundee City
Dunfermline Queen Margaret,38580,63354,7822,0,DFL,Scotland,Fife
Dunfermline Town,92998,161910,20426,0,DFE,Scotland,Fife
Dunkeld and Birnam,10144,17100,200,0,DKD,Scotland,Perth and Kinross
Dunlop,12034,26338,4600,0,DNL,Scotland,East Ayrshire
Dunrobin Castle,646,124,0,0,DNO,Scotland,Highland
Dunston,4668,12776,494,0,DOT,Eastern,Gateshead
Dunton Green,35594,80184,36798,0,DNG,Southern,Kent
Durham,135752,1846878,109802,68606,DHM,Eastern,County Durham
Durrington-On-Sea,83238,178640,92042,0,DUR,Southern,West Sussex
Dyce,101930,93682,20490,0,DYC,Scotland,Aberdeen City
Dyffryn Ardudwy,6522,1698,952,0,DYF,Wales and Western,Gwynedd
Eaglescliffe,23160,111912,9240,0,EAG,Eastern,Stockton-on-Tees
Ealing Broadway,1333516,2624266,811030,17992,EAL,Wales and Western,Ealing
Earlestown,66290,132056,32984,12893,ERL,North West and Central,St. Helens
Earley,83172,140962,55702,0,EAR,Southern,Wokingham
Earlsfield,1326894,1978512,878250,0,EAD,Southern,Wandsworth
Earlswood (Surrey),66164,86138,43224,0,ELD,Southern,Surrey
Earlswood (West Midlands),4302,14810,3134,0,EWD,North West and Central,Solihull
East Croydon,4345228,7376904,2782158,2603976,ECR,Southern,Croydon
East Didsbury,51640,113434,19890,0,EDY,North West and Central,Manchester
East Dulwich,291940,459214,164400,0,EDW,Southern,Southwark
East Farleigh,8188,10154,4906,0,EFL,Southern,Kent
East Garforth,54120,34480,25680,0,EGF,Eastern,Leeds
East Grinstead,196478,307618,207026,0,EGR,Southern,West Sussex
East Kilbride,123382,266820,55630,0,EKL,Scotland,South Lanarkshire
East Malling,15618,23884,18380,0,EML,Southern,Kent
East Midlands Parkway,43594,143582,9122,13105,EMD,Eastern,Nottinghamshire
East Tilbury,123692,80842,71816,0,ETL,Eastern,Thurrock
East Worthing,64628,109312,167772,0,EWR,Southern,West Sussex
Eastbourne,308902,1527210,860206,35101,EBN,Southern,East Sussex
Eastbrook,57936,2326,19366,0,EBK,Wales and Western,Vale of Glamorgan
Easterhouse,64368,90950,22096,0,EST,Scotland,Glasgow City
Eastham Rake,113830,134894,85874,0,ERA,North West and Central,Wirral
Eastleigh,235082,488522,184334,85078,ESL,Southern,Hampshire
Eastrington,476,3358,10,0,EGN,Eastern,East Riding of Yorkshire
Ebbsfleet International,344280,639962,228594,44469,EBD,Southern,Kent
Ebbw Vale Parkway,20370,1902,2646,0,EBV,Wales and Western,Blaenau Gwent
Ebbw Vale Town,105970,9044,33180,0,EBB,Wales and Western,Blaenau Gwent
Eccles (Manchester),82070,54596,28590,0,ECC,North West and Central,Salford
Eccles Road,356,100,820,0,ECS,Eastern,Norfolk
Eccleston Park,20226,24926,12952,0,ECL,North West and Central,St. Helens
Edale,32786,76178,286,0,EDL,North West and Central,Derbyshire
Eden Park,125176,163926,40728,0,EDN,Southern,Bromley
Edenbridge (Kent),25122,48646,60998,29200,EBR,Southern,Kent
Edenbridge Town,45992,89060,111674,6438,EBT,Southern,Kent
Edge Hill,85260,44072,32866,6299,EDG,North West and Central,Liverpool
Edinburgh,2398500,10668114,550922,860460,EDB,Scotland,City of Edinburgh
Edinburgh Gateway,55354,42746,18806,1212,EGY,Scotland,City of Edinburgh
Edinburgh Park,130722,127944,30956,0,EDP,Scotland,City of Edinburgh
Edmonton Green,778132,1305056,435512,21542,EDR,Eastern,Enfield
Effingham Junction,58080,67182,24962,6366,EFF,Southern,Surrey
Eggesford,8950,17850,6748,0,EGG,Wales and Western,Devon
Egham,473036,608480,180486,0,EGH,Southern,Surrey
Egton,370,4868,5002,0,EGT,Eastern,North Yorkshire
Elephant and Castle,405890,576148,334310,101469,EPH,Southern,Southwark
Elgin,54748,132864,9346,0,ELG,Scotland,Moray
Ellesmere Port,122158,210768,42866,379,ELP,North West and Central,Cheshire West and Chester
Elmers End,172932,224094,104470,0,ELE,Southern,Bromley
Elmstead Woods,245994,251596,110482,0,ESD,Southern,Bromley
Elmswell,29514,28126,9524,0,ESW,Eastern,Suffolk
Elsecar,60348,37722,35224,0,ELR,Eastern,Barnsley
Elsenham (Essex),45388,45618,64604,0,ESM,Eastern,Essex
Elstree and Borehamwood,686318,915702,360234,0,ELS,Eastern,Hertfordshire
Eltham,454556,638266,204676,0,ELW,Southern,Greenwich
Elton and Orston,22,18,0,0,ELO,Eastern,Nottinghamshire
Ely,404166,919014,311368,272502,ELY,Eastern,Cambridgeshire
Emerson Park,101212,84088,11176,0,EMP,Eastern,Havering
Emsworth,78958,129860,71918,3355,EMS,Southern,Hampshire
Energlyn and Churchill Park,29996,882,13224,0,ECP,Wales and Western,Caerphilly
Enfield Chase,252754,363528,93928,4573,ENC,Eastern,Enfield
Enfield Lock,314126,529954,115468,0,ENL,Eastern,Enfield
Enfield Town,496688,823356,166442,754,ENF,Eastern,Enfield
Entwistle,3210,14490,1596,0,ENT,North West and Central,Blackburn with Darwen
Epsom (Surrey),839428,1129904,364864,126011,EPS,Southern,Surrey
Epsom Downs,28856,30178,8948,0,EPD,Southern,Surrey
Erdington,101316,146776,81130,0,ERD,North West and Central,Birmingham
Eridge,17450,19720,13374,0,ERI,Southern,East Sussex
Erith,198810,298268,155650,0,ERH,Southern,Bexley
Esher,214706,194154,135588,0,ESH,Southern,Surrey
Eskbank,44780,108524,5666,0,EKB,Scotland,Midlothian
Essex Road,164592,184578,58616,0,EXR,Eastern,Islington
Etchingham,28850,69636,38368,0,ETC,Southern,East Sussex
Euxton Balshaw Lane,17306,35760,2792,0,EBA,North West and Central,Lancashire
Evesham,40094,139994,23660,187,EVE,Wales and Western,Worcestershire
Ewell East,156864,166798,65582,0,EWE,Southern,Surrey
Ewell West,256450,305074,101292,0,EWW,Southern,Surrey
Exeter Central,469770,1296370,477964,176654,EXC,Wales and Western,Devon
Exeter St David's,231770,1833562,141374,887713,EXD,Wales and Western,Devon
Exeter St Thomas,39014,104566,61846,0,EXT,Wales and Western,Devon
Exhibition Centre (Glasgow),178308,508874,122066,0,EXG,Scotland,Glasgow City
Exmouth,131522,586592,89196,0,EXM,Wales and Western,Devon
Exton,7878,9168,3036,0,EXN,Wales and Western,Devon
Eynsford,31100,42016,32080,0,EYN,Southern,Kent
Fairbourne,13766,3620,1052,0,FRB,Wales and Western,Gwynedd
Fairfield,6616,4708,2702,0,FRF,North West and Central,Tameside
Fairlie,6302,12766,1302,0,FRL,Scotland,North Ayrshire
Fairwater,26496,936,12674,0,FRW,Wales and Western,Cardiff
Falconwood,252044,313630,102930,0,FCN,Southern,Bexley
Falkirk Grahamston,117140,190100,34534,126210,FKG,Scotland,Falkirk
Falkirk High,148030,240228,43640,3034,FKK,Scotland,Falkirk
Falls Of Cruachan,362,130,0,0,FOC,Scotland,Argyll and Bute
Falmer,245296,586204,72194,0,FMR,Southern,Brighton and Hove
Falmouth Docks,9590,95596,18368,0,FAL,Wales and Western,Cornwall
Falmouth Town,17828,189920,25552,0,FMT,Wales and Western,Cornwall
Fareham,356172,707648,180700,105460,FRM,Southern,Hampshire
Farnborough (Main),457966,697980,358046,4498,FNB,Southern,Hampshire
Farnborough North,99018,150910,77414,1857,FNN,Southern,Hampshire
Farncombe,134862,134384,81928,0,FNC,Southern,Surrey
Farnham,327954,444470,158082,16977,FNH,Southern,Surrey
Farningham Road,32902,42934,28328,0,FNR,Southern,Kent
Farnworth,18680,17122,7942,0,FNW,North West and Central,Bolton
Farringdon,2760662,3044158,1060408,245046,ZFD,Eastern,Islington
Fauldhouse,9740,13230,2262,0,FLD,Scotland,West Lothian
Faversham,245064,455072,419484,45285,FAV,Southern,Kent
Faygate,2414,1046,426,0,FGT,Southern,West Sussex
Fazakerley,154312,494090,271764,0,FAZ,North West and Central,Liverpool
Fearn,2096,448,436,0,FRN,Scotland,Highland
Featherstone,28202,25380,8770,0,FEA,Eastern,Wakefield
Felixstowe,49566,123138,20368,0,FLX,Eastern,Suffolk
Feltham,836870,1163088,575462,0,FEL,Southern,Hounslow
Feniton,9898,28034,9612,0,FNT,Southern,Devon
Fenny Stratford,1906,2344,2980,0,FEN,North West and Central,Milton Keynes
Fernhill,12454,576,2096,0,FER,Wales and Western,Rhondda Cynon Taf
Ferriby,11910,13312,3400,0,FRY,Eastern,East Riding of Yorkshire
Ferryside,13572,3622,1862,0,FYS,Wales and Western,Carmarthenshire
Ffairfach,1618,590,0,0,FFA,Wales and Western,Carmarthenshire
Filey,26656,112844,14074,0,FIL,Eastern,North Yorkshire
Filton Abbey Wood,164152,196048,24384,0,FIT,Wales and Western,South Gloucestershire
Finchley Road and Frognal,439090,654594,332464,0,FNY,Eastern,Camden
Finsbury Park,1414256,2509042,677126,1900652,FPK,Eastern,Islington
Finstock,228,56,80,0,FIN,Wales and Western,Oxfordshire
Fishbourne (Sussex),22724,20916,14614,0,FSB,Southern,West Sussex
Fishersgate,28630,45772,12372,0,FSG,Southern,West Sussex
Fishguard and Goodwick,1298,4854,0,0,FGW,Wales and Western,Pembrokeshire
Fishguard Harbour,924,4276,0,0,FGH,Wales and Western,Pembrokeshire
Fiskerton,9496,5446,1256,0,FSK,Eastern,Nottinghamshire
Fitzwilliam,94500,68766,34836,402,FZW,Eastern,Wakefield
Five Ways,437828,410770,322458,0,FWY,North West and Central,Birmingham
Fleet,247296,389618,197426,3877,FLE,Southern,Hampshire
Flimby,2854,5900,1748,0,FLM,North West and Central,Cumbria
Flint,114858,56974,16160,0,FLN,Wales and Western,Flintshire
Flitwick,186430,440784,201974,0,FLT,Eastern,Central Bedfordshire
Flixton,37974,27856,10140,0,FLI,North West and Central,Trafford
Flowery Field,59634,59302,43932,0,FLF,North West and Central,Tameside
Folkestone Central,115104,405894,161676,7455,FKC,Southern,Kent
Folkestone West,86550,305202,121570,1499,FKW,Southern,Kent
Ford,29442,39916,22750,79674,FOD,Southern,West Sussex
Forest Gate,758102,1387466,529530,0,FOG,Eastern,Newham
Forest Hill,923734,1626186,396970,0,FOH,Southern,Lewisham
Formby,237296,594808,163860,0,FBY,North West and Central,Sefton
Forres,24402,62786,5448,0,FOR,Scotland,Moray
Forsinard,504,156,0,0,FRS,Scotland,Highland
Fort Matilda,16268,36430,7354,0,FTM,Scotland,Inverclyde
Fort William,22516,91682,32,197,FTW,Scotland,Highland
Four Oaks,90294,166714,119562,0,FOK,North West and Central,Birmingham
Foxfield,2386,8364,1720,0,FOX,North West and Central,Cumbria
Foxton,24126,37812,13314,0,FXN,Eastern,Cambridgeshire
Frant,17128,33732,20606,0,FRT,Southern,East Sussex
Fratton,417766,942082,159146,72962,FTN,Southern,Portsmouth
Freshfield,102988,302742,78344,0,FRE,North West and Central,Sefton
Freshford,13706,15474,4932,0,FFD,Wales and Western,Bath and North East Somerset
Frimley,55902,56760,27882,0,FML,Southern,Surrey
Frinton-on-Sea,24458,79498,30996,0,FRI,Eastern,Essex
Frizinghall,106164,61514,173304,0,FZH,Eastern,Bradford
Frodsham,85266,49754,6924,0,FRD,North West and Central,Cheshire West and Chester
Frome,59126,103512,3846,719,FRO,Wales and Western,Somerset
Fulwell,87084,103382,33270,0,FLW,Southern,Richmond upon Thames
Furness Vale,5518,11100,2644,0,FNV,North West and Central,Derbyshire
Furze Platt,29312,33252,36018,0,FZP,Wales and Western,Windsor and Maidenhead
Gainsborough Central,1040,732,58,1193,GNB,Eastern,Lincolnshire
Gainsborough Lea Road,60490,75344,10006,579,GBL,Eastern,Lincolnshire
Galashiels,68314,109226,9318,0,GAL,Scotland,Scottish Borders
Garelochhead,4636,3496,346,0,GCH,Scotland,Argyll and Bute
Garforth,175694,115748,53258,0,GRF,Eastern,Leeds
Gargrave,5686,16784,1174,0,GGV,Eastern,North Yorkshire
Garrowhill,50704,110248,35326,0,GAR,Scotland,Glasgow City
Garscadden,30050,70318,18310,0,GRS,Scotland,Glasgow City
Garsdale,2692,9638,94,0,GSD,North West and Central,Cumbria
Garston (Hertfordshire),7438,5956,5018,0,GSN,North West and Central,Hertfordshire
Garswood,22406,66250,31756,0,GSW,North West and Central,St. Helens
Gartcosh,31474,48654,16008,0,GRH,Scotland,North Lanarkshire
Garth (Bridgend County),9838,220,1086,0,GMG,Wales and Western,Bridgend
Garth (Powys),246,174,0,0,GTH,Wales and Western,Powys
Garve,1402,1130,28,0,GVE,Scotland,Highland
Gathurst,30198,29182,11634,0,GST,North West and Central,Wigan
Gatley,84496,142976,24768,0,GTY,North West and Central,Stockport
Gatwick Airport,2849936,2836458,232650,908855,GTW,Southern,West Sussex
Georgemas Junction,634,388,10,0,GGJ,Scotland,Highland
Gerrards Cross,276830,280932,102070,45603,GER,North West and Central,Buckinghamshire
Gidea Park,665484,851302,166870,56,GDP,Eastern,Havering
Giffnock,44934,116818,16228,0,GFN,Scotland,East Renfrewshire
Giggleswick,3172,5864,604,0,GIG,North West and Central,North Yorkshire
Gilberdyke,12820,25480,7704,466,GBD,Eastern,East Riding of Yorkshire
Gilfach Fargoed,636,114,408,0,GFF,Wales and Western,Caerphilly
Gillingham (Dorset),37284,159670,29756,0,GIL,Southern,Dorset
Gillingham (Kent),532400,761276,566952,107094,GLM,Southern,Medway
Gilshochill,8922,27082,6704,0,GSC,Scotland,Glasgow City
Gipsy Hill,323484,412784,167966,0,GIP,Southern,Lambeth
Girvan,18702,39870,2424,0,GIR,Scotland,South Ayrshire
Glaisdale,596,3330,14268,0,GLS,Eastern,North Yorkshire
Glan Conwy,1562,764,288,0,GCW,Wales and Western,Conwy
Glasgow Central,3543670,9980668,1798012,1837566,GLC,Scotland,Glasgow City
Glasgow Queen Street,1852766,5978740,636212,895798,GLQ,Scotland,Glasgow City
Glasshoughton,56792,35940,6562,0,GLH,Eastern,Wakefield
Glazebrook,9834,9032,4686,0,GLZ,North West and Central,Warrington
Gleneagles,20898,43426,1356,0,GLE,Scotland,Perth and Kinross
Glenfinnan,3162,4762,0,0,GLF,Scotland,Highland
Glengarnock,49942,99534,33046,0,GLG,Scotland,North Ayrshire
Glenrothes with Thornton,14404,27172,2104,0,GLT,Scotland,Fife
Glossop,184716,243010,161230,0,GLO,North West and Central,Derbyshire
Gloucester,297002,845342,71298,34343,GCR,Wales and Western,Gloucestershire
Glynde,16068,26398,8766,0,GLY,Southern,East Sussex
Gobowen,94154,53028,7210,0,GOB,Wales and Western,Shropshire
Godalming,414494,358128,180870,0,GOD,Southern,Surrey
Godley,22528,30864,10226,0,GDL,North West and Central,Tameside
Godstone,14832,25462,15872,0,GDN,Southern,Surrey
Goldthorpe,22814,17120,12844,0,GOE,Eastern,Barnsley
Golf Street,470,48,0,0,GOF,Scotland,Angus
Golspie,3652,874,10,0,GOL,Scotland,Highland
Gomshall,12534,27910,4130,0,GOM,Southern,Surrey
Goodmayes,745326,1218336,505912,0,GMY,Eastern,Redbridge
Goole,56090,154846,22184,1149,GOO,Eastern,East Riding of Yorkshire
