item_number,name,year,theme,subtheme,pieces,minifigures,image_URL,price
5131,"Hinges, Couplings, Turntables",1996,Service Packs,,27,NA,http://images.brickset.com/sets/images/5131-1.jpg,NA
5133,Town Accessories,1996,Service Packs,Town,47,NA,http://images.brickset.com/sets/images/5133-1.jpg,NA
5140,Basic Bricks Red,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5140-1.jpg,NA
5141,Basic Bricks Blue,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5141-1.jpg,NA
5142,Basic Bricks White,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5142-1.jpg,NA
5143,Basic Bricks Yellow,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5143-1.jpg,NA
5144,Basic Bricks Black,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5144-1.jpg,NA
5145,Basic Bricks Grey,1996,Service Packs,,62,NA,http://images.brickset.com/sets/images/5145-1.jpg,NA
5149,Doors and Windows,1996,Service Packs,,38,NA,http://images.brickset.com/sets/images/5149-1.jpg,NA
5151,Roof Bricks Steep 45 Degrees Red,1996,Service Packs,,59,NA,http://images.brickset.com/sets/images/5151-1.jpg,NA
5152,Roof Bricks Shallow 25 Degrees Red,1996,Service Packs,,60,NA,http://images.brickset.com/sets/images/5152-1.jpg,NA
5289,Toggle Joints and Connectors,1996,Service Packs,Technic,64,NA,http://images.brickset.com/sets/images/5289-1.jpg,NA
5290,"Plates, Gear Racks",1996,Service Packs,Technic,16,NA,http://images.brickset.com/sets/images/5290-1.jpg,NA
5291,"Lift-Arms, Triangles",1996,Service Packs,Technic,12,NA,http://images.brickset.com/sets/images/5291-1.jpg,NA
5293,Battery Box - Basic and Technic,1996,Service Packs,,1,NA,http://images.brickset.com/sets/images/5293-1.jpg,NA
5309,Wagon Plate Red 6 x 28,1996,Service Packs,Trains,1,NA,http://images.brickset.com/sets/images/5309-1.jpg,NA
5310,Light Brick Conductor (9 V),1996,Service Packs,Trains,4,NA,http://images.brickset.com/sets/images/5310-1.jpg,NA
5396,Transparent Windows and Bricks,1996,Service Packs,,8,NA,http://images.brickset.com/sets/images/5396-1.jpg,NA
5397,Magnet and Magnet Holder,1996,Service Packs,,12,NA,http://images.brickset.com/sets/images/5397-1.jpg,NA
5398,Decorated Elements,1996,Service Packs,,43,NA,http://images.brickset.com/sets/images/5398-1.jpg,NA
5571,Giant Truck,1996,Model Team,,1757,NA,http://images.brickset.com/sets/images/5571-1.jpg,NA
5876,Belville Hospital Ward,1996,Belville,,96,4,http://images.brickset.com/sets/images/5876-1.jpg,NA
6024,Bandit Ambush,1996,Castle,Dark Forest,59,2,http://images.brickset.com/sets/images/6024-1.jpg,NA
6046,Hemlock Stronghold,1996,Castle,Dark Forest,216,5,http://images.brickset.com/sets/images/6046-1.jpg,NA
6079,Dark Forest Fortress,1996,Castle,Dark Forest,464,7,http://images.brickset.com/sets/images/6079-1.jpg,NA
6104,Aquacessories,1996,Aquazone,Accessories,23,2,http://images.brickset.com/sets/images/6104-1.jpg,NA
6135,Spy Shark,1996,Aquazone,Aquasharks,60,1,http://images.brickset.com/sets/images/6135-1.jpg,NA
6145,Crystal Crawler,1996,Aquazone,Aquanauts,96,1,http://images.brickset.com/sets/images/6145-1.jpg,NA
6190,Shark's Crystal Cave,1996,Aquazone,Aquasharks,258,2,http://images.brickset.com/sets/images/6190-1.jpg,NA
6232,Skeleton Crew,1996,Pirates,Imperial Armada,28,2,http://images.brickset.com/sets/images/6232-1.jpg,NA
624,"Basic Motor, 9V",1996,Basic,Supplementaries,27,NA,http://images.brickset.com/sets/images/624-1.jpg,NA
6244,Armada Sentry,1996,Pirates,Imperial Armada,71,1,http://images.brickset.com/sets/images/6244-1.jpg,NA
6248,Volcano Island,1996,Pirates,,119,2,http://images.brickset.com/sets/images/6248-1.jpg,NA
626,"Building Plate, Green",1996,Basic,Supplementaries,1,NA,http://images.brickset.com/sets/images/626-2.jpg,6.99
627,"Building Plate, Blue",1996,Basic,Supplementaries,1,NA,http://images.brickset.com/sets/images/627-1.jpg,NA
628,X-Large Baseplate Grey,1996,Basic,Supplementaries,1,NA,http://images.brickset.com/sets/images/628-1.jpg,10.49
6280,Armada Flagship,1996,Pirates,Imperial Armada,284,3,http://images.brickset.com/sets/images/6280-1.jpg,NA
6289,Red Beard Runner,1996,Pirates,,703,7,http://images.brickset.com/sets/images/6289-1.jpg,NA
6296,Shipwreck Island,1996,Pirates,,216,4,http://images.brickset.com/sets/images/6296-1.jpg,NA
