Class,Order,Family,Genus,Species,Common_name,Location,Country,Region,Latitude,Longitude,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome
Aves,Ciconiiformes,Ardeidae,Bubulcus,ibis,Cattle egret,Hong kong,Hong Kong,Asia,22.43333,114.05,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Ciconiiformes,Ardeidae,Nycticorax,nycticorax,Black-crowned night heron,Hong Kong,Hong Kong,Asia,22.43333,114.05,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Ciconiiformes,Ardeidae,Ardeola,bacchus,Chinese pond-heron,Hong Kong,Hong Kong,Asia,22.43333,114.05,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,Asian openbill,Pailom and Ampuvararam Temple Wildlife Non-Hunting Area,Thailand,Asia,14.05,100.51667,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Ciconia,ciconia,White stork,18 plots in Estonia,Estonia,Europe,58.66667,25.53333,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Buteo,buteo,Common buzzard,72 plots in Estonia,Estonia,Europe,58.66667,25.53333,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Aegypius,monachus,Cinereous vulture / Black vulture,"Dadia National Park, Evros Province, north-east Greece",Greece,Europe,41.14972,26.245,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Buceros,rhinoceros,Rhinoceros hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhinoplax,vigil,Helmeted hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Anorrhinus,galeritus,Bushy hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhabdotorrhinus,corrugatus,Wrinkled hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Rhyticeros,undulatus,Wreathed hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Gruiformes,Gruidae,Grus,grus,Common crane,Denmark,Denmark,Europe,56.03,9.07028,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
Aves,Bucerotiformes,Bucerotidae,Berenicornis,comatus,White-crowned hornbill,Hala Bala Wildlife Sanctuary,Thailand,Asia,5.8,101.8,Terrestrial,Indo-Malayan,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Upper bottom of the Rhone valley in the southwestern Swiss Alps, Canton of Valais",Switzerland,Europe,46.03472,7.15,Terrestrial,Palearctic,Temperate coniferous forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Ostwestfalen-Lippe region, state of Nordrhein-Westfalen, Germany",Germany,Europe,51.96667,8.76667,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Gruiformes,Gruidae,Antigone,antigone,Sarus crane,"South-western zone Upper lake, Bhoj Wetland, India",India,Asia,23.23333,77.31667,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"130km2 of the regional model area in Simpevarp, Sweden",Sweden,Europe,57.41667,16.58333,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Pandion,haliaetus,Osprey,"130km2 of the regional model area in Simpevarp, Sweden",Sweden,Europe,57.41667,16.58333,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Aves,Gruiformes,Gruidae,Antigone,antigone,Sarus crane,"South-eastern zone Upper lake, Bhoj Wetland, India",India,Asia,23.21667,77.35,Freshwater,NULL,NULL,Indo-Malayan,Tropical and subtropical floodplain rivers and wetland complexes,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Northern Harz mountains in Sachsen-Anhalt, Germany",Germany,Europe,50.76389,10.74722,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Dänischer Wohld area, state of Schleswig-Holstein, Germany",Germany,Europe,54.44528,10.08611,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"German waters, North Sea",Germany,Europe,54.73333,7.51667,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Barmstedter Geest area, state of Schleswig-Holstein, Germany",Germany,Europe,53.77917,9.77,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"Kiel Bight, South-western Baltic Sea",Germany,Europe,54.66667,10.31667,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Aves,Ciconiiformes,Ciconiidae,Ciconia,nigra,Black stork,"State of Sachsen-Anhalt, Germany",Germany,Europe,51.96722,11.69222,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Pandion,haliaetus,Osprey,"State of Sachsen-Anhalt, Germany",Germany,Europe,51.96722,11.69222,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Haliaeetus,albicilla,White-tailed eagle,"State of Sachsen-Anhalt, Germany",Germany,Europe,51.96722,11.69222,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Pucrasia,macrolopha,Koklass pheasant,"Ayubia National Park, Pakistan",Pakistan,Asia,33.81667,73.03333,Terrestrial,Indo-Malayan,Tropical and subtropical coniferous forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"Mecklenburg Bight, south-western Baltic Sea",Germany,Europe,54.36667,11.73333,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"Pomeranian Bight, south-western Baltic Sea",Germany,Europe,54.88333,14.16667,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Aves,Galliformes,Phasianidae,Lophura,leucomelanos,White-crested kalij pheasant,"Ayubia National Park, Pakistan",Pakistan,Asia,33.81667,73.03333,Terrestrial,Indo-Malayan,Tropical and subtropical coniferous forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"Central German bight, North Sea",Germany,Europe,54.95,6.81667,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Sea and Baltic Sea,Unknown
Aves,Galliformes,Phasianidae,Lophophorus,impejanus,Himalayan monal,"Bichla-Minur, Pakistan",Pakistan,Asia,34.53333,73.61667,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Saxonian Elbsandsteingebirge, Sachsen-Anhalt, Germany",Germany,Europe,50.92,14.31,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Bubo,bubo,Eurasian eagle-owl,"Bohemian Elbsandsteingebirge, Bohemia, Czech Republic",Czech Republic,Europe,50.88333,14.4,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Gruiformes,Gruidae,Grus,grus,Common crane,"Hortobágy, Hungary",Hungary,Europe,47.53333,21.1,Freshwater,NULL,NULL,Palearctic,Temperate floodplain rivers and wetlands,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,fulvus,Griffon vulture / Eurasian griffon,"Nesting site A, Drina River gorge, Serbia",Serbia,Europe,44.35,19.15,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Strigiformes,Strigidae,Strix,nebulosa,Great grey owl,Finland,Finland,Europe,64.21667,27.05,Terrestrial,Palearctic,Boreal forests/taiga,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Lophura,leucomelanos,White-crested kalij pheasant,"Bichla-Minur, Pakistan",Pakistan,Asia,34.53333,73.61667,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Pucrasia,macrolopha,Koklass pheasant,"Bichla-Minur, Pakistan",Pakistan,Asia,34.53333,73.61667,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Lophophorus,impejanus,Himalayan monal,"Siran Valley, Pakistan",Pakistan,Asia,34.6,73.35,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Pucrasia,macrolopha,Koklass pheasant,"Siran Valley, Pakistan",Pakistan,Asia,34.6,73.25,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Galliformes,Phasianidae,Lophura,leucomelanos,White-crested kalij pheasant,"Siran Valley, Pakistan",Pakistan,Asia,34.6,73.25,Terrestrial,Indo-Malayan,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Cetacea,Phocoenidae,Phocoena,phocoena,Harbour porpoise,"Sea of Hebrides and North and Little Minches, north-west Scotland",United Kingdom,Europe,57.6,-6.8,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Atlantic Ocean,Unknown
Amphibia,Anura,Hemisotidae,Hemisus,marmoratus,African pig-nosed frog,"Lola pond, Comoé National Park",Côte D'Ivoire,Africa,8.75,-3.81667,Terrestrial,Afrotropical,"Tropical and subtropical grasslands, savannas and shrublands",NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,fulvus,Griffon vulture / Eurasian griffon,"Nesting site B, Drina River gorge, Serbia",Serbia,Europe,44.35,19.15,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gyps,fulvus,Griffon vulture / Eurasian griffon,"Nesting site C, Drina River gorge, Serbia",Serbia,Europe,44.35,19.15,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Mammalia,Carnivora,Felidae,Felis,silvestris,Wild cat,Hungary,Hungary,Europe,47.18333,20.13333,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gypaetus,barbatus,Lammergeier / Bearded vulture,Corsica,France,Europe,42.27917,9.02917,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
Reptilia,Testudines,Podocnemididae,Podocnemis,unifilis,Yellow-spotted amazon river turtle,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Mammalia,Cetacea,Delphinidae,Orcinus,orca,Killer whale / Orca,"Shetland inshore waters, Scotland",United Kingdom,Europe,60.21667,-0.93333,Marine,NULL,NULL,NULL,NULL,Atlantic north temperate,North Atlantic Ocean,Unknown
Reptilia,Crocodylia,Alligatoridae,Melanosuchus,niger,Black caiman,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus,Common caiman / Babilla,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Aves,Psittaciformes,Psittacidae,Ara,ararauna,Blue-and-yellow macaw,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Mycteria,americana,Wood stork,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Gypaetus,barbatus,Lammergeier / Bearded vulture,Spanish Pyrenees,Spain,Europe,42.616667,-0.8,Terrestrial,Palearctic,Temperate broadleaf and mixed forests,NULL,NULL,NULL,NULL,NULL
Aves,Ciconiiformes,Ciconiidae,Jabiru,mycteria,Jabiru,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Charadriiformes,Charadriidae,Hoploxypterus,cayanus,Pied lapwing,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Aves,Anseriformes,Anhimidae,Anhima,cornuta,Horned screamer,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Anseriformes,Anatidae,Cairina,moschata,Muscovy duck,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Charadriiformes,Laridae,Sternula,superciliaris,Yellow-billed tern,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Freshwater,NULL,NULL,Neotropical,Tropical and subtropical upland rivers,NULL,NULL,NULL
Mammalia,Primates,Atelidae,Alouatta,seniculus,Red howler monkey,"Los Amigos River, Peru",Peru,Latin America and Caribbean,-12.56667,-70.05,Terrestrial,Neotropical,Tropical and subtropical moist broadleaf forests,NULL,NULL,NULL,NULL,NULL
Aves,Falconiformes,Accipitridae,Aegypius,monachus,Cinereous vulture / Black vulture,"Grand Causses, southern Massif Central, France",France,Europe,43.93333,3.07778,Terrestrial,Palearctic,"Mediterranean forests, woodlands and scrub",NULL,NULL,NULL,NULL,NULL
